debat,segmen,part,sub,me,eks,au,label
3,AnD_1,AnD_2_Anies_1,Anies,1,happiness,12,1
3,AnD_1,AnD_2_Anies_1,Anies,2,others,18 13,2
3,AnD_1,AnD_2_Anies_2,Anies,1,surprise,1,5
3,AnD_1,AnD_2_Anies_2,Anies,2,fear,1+20,6
3,AnD_1,AnD_2_Anies_2,Anies,3,surprise,1,5
3,AnD_1,AnD_2_Ganjar_1,Ganjar,1,repression,14,4
3,AnD_1,AnD_2_Ganjar_2,Ganjar,1,disgust,9,3
3,AnD_1,AnD_3_Anies_1,Anies,1,others,28,2
3,AnD_1,AnD_3_Anies_1,Anies,2,surprise,1,5
3,AnD_1,AnD_3_Anies_1,Anies,3,others,28,2
3,AnD_2,AnD_1_Ganjar_1,Ganjar,1,surprise,1,5
3,AnD_2,AnD_1_Ganjar_2,Ganjar,2,happiness,12,1
3,AnD_2,AnD_2_Anies_1,Anies,1,others,23,2
3,AnD_2,AnD_2_Anies_1,Anies,2,others,25,2
3,AnD_2,AnD_2_Anies_1,Anies,3,happiness,12,1
3,AnD_2,AnD_2_Anies_2,Anies,1,happiness,12,1
3,AnD_2,AnD_2_Ganjar_1,Ganjar,1,happiness,12,1
3,AnD_2,AnD_2_Ganjar_2,Ganjar,2,disgust,10,3
3,AnD_2,AnD_3_Anies_1,Anies,1,others,2,2
3,AnD_2,AnD_3_Anies_1,Anies,2,others,23,2
3,AnD_2,AnD_3_Prabowo_1,Prabowo,1,surprise,1,5
3,QnA_1,QnA_1_Anies_1,Anies,1,others,28,2
3,QnA_1,QnA_1_Anies_2,Anies,1,others,24,2
3,QnA_1,QnA_1_Ganjar,Ganjar,1,others,20,2
3,QnA_1,QnA_1_Prabowo,Prabowo,1,happiness,12,1
3,QnA_1,QnA_1_Prabowo,Prabowo,2,others,16,2
3,QnA_1,QnA_1_Prabowo,Prabowo,3,others,14 half,2
3,QnA_1,QnA_2_Ganjar,Ganjar,1,happiness,12,1
3,QnA_1,QnA_2_Ganjar,Ganjar,3,happiness,12,1
3,QnA_1,QnA_2_Prabowo_2,Prabowo,1,others,15 half,2
3,QnA_1,QnA_3_Anies,Anies,1,surprise,1,5
3,QnA_1,QnA_3_Anies,Anies,2,repression,14,4
3,QnA_1,QnA_3_Anies,Anies,4,surprise,1,5
3,QnA_1,QnA_3_Anies,Anies,5,surprise,1,5
3,QnA_1,QnA_3_Ganjar_1,Ganjar,1,happiness,12,1
3,QnA_1,QnA_3_Ganjar_1,Ganjar,2,happiness,12,1
3,QnA_1,QnA_3_Ganjar_2,Ganjar,3,happiness,12,1
3,QnA_1,QnA_3_Ganjar_2,Ganjar,4,surprise,1,5
3,QnA_1,QnA_3_Ganjar_2,Ganjar,5,repression,14 half,4
